uuid,firstName,lastName,email,phone
408bf6ac-877d-4e43-92c8-2a7785447911,Brigitte,Franey-Monahan,brigitte.franey-monahan@email.com,815-511-8755
f05c1edf-1f7c-41e6-8ad0-f21da1a92235,Christa,Carroll,christa.carroll@email.com,385-208-2824
f99048d4-85c8-4393-a321-62b6c13e1899,Alysa,Davis,alysa.davis@email.com,179-955-8481
6ddfa340-f0bd-47fe-a4cf-7cab912f0984,Judah,Trantow,judah.trantow@email.com,736-039-5635
b28085f2-9730-4bb3-b7e5-7ffed1db6496,Colt,Kulas,colt.kulas@email.com,696-673-7702
a7f0238d-4185-4181-84bc-ad8e40cd5785,Russel,Parisian,russel.parisian@email.com,736-856-7898
e8073c07-4a34-4729-a331-2f4c989e296a,Liliana,DuBuque,liliana.dubuque@email.com,651-525-9015
b6389300-dc3b-41bc-9373-b224e6b77009,Jalen,Friesen,jalen.friesen@email.com,933-708-4791
8a0e8988-a16f-4876-8e7a-846f9d9875fb,Eloise,Mann,eloise.mann@email.com,826-129-4886
cb226342-6069-430c-969a-828202ccdb2c,Ilene,Roberts-Thiel,ilene.roberts-thiel@email.com,423-584-0467
